all,December 1st 2017,07:00am,1678
all,December 1st 2017,07:00am,1678
string light,December 1st 2017,08:02am,60
holiday ornaments ,December 1st 2017,08:19am,1
matcha cup,December 1st 2017,08:56am,0
tea cup,December 1st 2017,08:56am,81
church street ornament,December 1st 2017,09:02am,4
church street ornament ,December 1st 2017,09:18am,4
dish rack,December 1st 2017,10:00am,25
lamp,December 1st 2017,10:03am,157
phone number ,December 1st 2017,10:16am,0
bar table,December 1st 2017,10:19am,0
cable bite,December 1st 2017,10:37am,6
water bottle,December 1st 2017,10:39am,50
frying pan,December 1st 2017,10:39am,2
frying pans  sale,December 1st 2017,10:49am,0
frying pan,December 1st 2017,10:51am,2
frying pan,December 1st 2017,11:01am,2
frying pan,December 1st 2017,11:01am,2
frying pan,December 1st 2017,11:01am,2
frying pan,December 1st 2017,11:01am,2
frying pan,December 1st 2017,11:01am,2
frying pan,December 1st 2017,11:01am,2
frying pan,December 1st 2017,11:01am,2
frying pan,December 1st 2017,11:06am,2
frying pan,December 1st 2017,11:10am,2
frying pan,December 1st 2017,11:11am,2
tablecloth,December 1st 2017,11:23am,95
diffuser,December 1st 2017,12:04pm,34
tablecloth,December 1st 2017,12:20pm,95
kitchen aid sausage,December 1st 2017,12:30pm,2
sausage tube,December 1st 2017,12:30pm,0
tablecloth,December 1st 2017,12:33pm,95
futon,December 1st 2017,01:13pm,3
le creuset,December 1st 2017,01:30pm,0
art,December 1st 2017,01:37pm,677
tapestrie,December 1st 2017,02:23pm,0
slow cooker,December 1st 2017,02:43pm,5
diffuser ,December 1st 2017,03:22pm,34
pop up,December 1st 2017,03:30pm,30
basket,December 1st 2017,03:43pm,147
full mirror,December 1st 2017,04:47pm,0
 candle holder,December 1st 2017,04:58pm,700
cookie cutter,December 1st 2017,05:26pm,129
wine rack,December 1st 2017,05:31pm,32
lake champlain,December 1st 2017,05:32pm,12
slow cooker,December 1st 2017,05:43pm,5
kitchen cart,December 1st 2017,06:28pm,14
granit top kitchen cart,December 1st 2017,06:32pm,1
berry wreath ,December 1st 2017,06:34pm,1
bialetti espresso maker,December 1st 2017,07:25pm,0
bonsai,December 1st 2017,07:30pm,0
chair,December 1st 2017,07:57pm,140
water bottle,December 1st 2017,08:23pm,50
bottle,December 1st 2017,08:25pm,382
thermos food jar,December 1st 2017,09:18pm,0
christmas stocking,December 1st 2017,10:15pm,8
christmas stocking,December 1st 2017,10:17pm,8
christmas stocking,December 1st 2017,10:20pm,8
christmas stocking,December 1st 2017,10:20pm,8
gift box ,December 1st 2017,10:34pm,2
box,December 1st 2017,10:35pm,467
bath,December 1st 2017,10:59pm,206
unicorn ,December 1st 2017,11:57pm,33
unicorno,December 1st 2017,11:58pm,3
bees wrap,December 2nd 2017,06:06am,6
ornament,December 2nd 2017,06:13am,754
staub,December 2nd 2017,06:24am,0
clock,December 2nd 2017,07:47am,104
living room clock,December 2nd 2017,07:50am,2
teapot,December 2nd 2017,08:29am,89
teapot,December 2nd 2017,08:30am,89
enamel,December 2nd 2017,08:54am,77
ornaments ,December 2nd 2017,08:57am,6
